step,country,latitude,longitude,observed_hosts,activation_step,infected_no_containment,infected_containment
2,Kazakhstan,48.0196,66.9237,1,26,0,0
2,Serbia,44.0165,21.0059,1,26,0,0
2,Israel,31.0461,34.8516,1,27,0,0
2,Denmark,56.2639,9.5018,1,28,0,0
2,Moldova Republic of,47.4116,28.3699,1,28,0,0
2,Greece,39.0742,21.8243,1,28,0,0
2,Dominican Republic,18.7357,-70.1627,1,28,0,0
2,Lithuania,55.1694,23.8813,1,28,0,0
2,Ireland,53.1424,-7.6921,1,28,0,0
2,Chile,-35.6751,-71.543,1,28,0,0
3,United States,37.0902,-95.7129,142,0,38,12
3,China,35.8617,104.1954,29,2,2,1
3,Japan,36.2048,138.2529,18,4,0,0
3,Germany,51.1657,10.4515,9,2,1,0
3,United Kingdom,55.3781,-3.436,8,3,0,0
3,France,46.2276,2.2137,8,4,0,0
3,Canada,56.1304,-106.3468,7,4,0,0
3,Indonesia,-0.7893,113.9213,6,5,0,0
3,Italy,41.8719,12.5674,6,6,0,0
3,Australia,-25.2744,133.7751,6,7,0,0
3,Russian Federation,61.524,105.3188,5,8,0,0
3,Taiwan; Republic of China (ROC),23.6978,120.9605,5,8,0,0
3,Belgium,50.5039,4.4699,5,9,0,0
3,Spain,40.4637,-3.7492,5,10,0,0
3,Korea Republic of,35.9078,127.7669,5,10,0,0
3,India,20.5937,78.9629,4,11,0,0
3,South Africa,-30.5595,22.9375,4,12,0,0
3,Netherlands,52.1326,5.2913,4,13,0,0
3,Venezuela,6.4238,-66.5897,3,14,0,0
3,Egypt,26.8206,30.8025,3,14,0,0
3,Viet Nam,14.0583,108.2772,3,15,0,0
3,Sweden,60.1282,18.6435,3,16,0,0
3,Brazil,-14.235,-51.9253,3,16,0,0
3,Latvia,56.8796,24.6032,2,17,0,0
3,Thailand,15.87,100.9925,2,18,0,0
3,New Zealand,-40.9006,174.886,2,19,0,0
3,Austria,47.5162,14.5501,2,20,0,0
3,Mexico,23.6345,-102.5528,2,20,0,0
3,Colombia,4.5709,-74.2973,2,21,0,0
3,Turkey,38.9637,35.2433,2,22,0,0
3,Norway,60.472,8.4689,1,22,0,0
3,Saudi Arabia,23.8859,45.0792,1,23,0,0
3,Hong Kong,22.3193,114.1694,1,24,0,0
3,Iran (ISLAMIC Republic Of),32.4279,53.688,1,25,0,0
3,Kazakhstan,48.0196,66.9237,1,26,0,0
3,Serbia,44.0165,21.0059,1,26,0,0
3,Israel,31.0461,34.8516,1,27,0,0
3,Denmark,56.2639,9.5018,1,28,0,0
3,Moldova Republic of,47.4116,28.3699,1,28,0,0
3,Greece,39.0742,21.8243,1,28,0,0
3,Dominican Republic,18.7357,-70.1627,1,28,0,0
3,Lithuania,55.1694,23.8813,1,28,0,0
3,Ireland,53.1424,-7.6921,1,28,0,0
3,Chile,-35.6751,-71.543,1,28,0,0
4,United States,37.0902,-95.7129,142,0,65,16
4,China,35.8617,104.1954,29,2,4,2
4,Japan,36.2048,138.2529,18,4,1,0
4,Germany,51.1657,10.4515,9,2,1,0
4,United Kingdom,55.3781,-3.436,8,3,1,0
4,France,46.2276,2.2137,8,4,0,0
